X,Y,OBJECTID,BIKERACKSID,SOURCE,SOURCE_DATE,CATEGORY,OWNERSHIP,CAPACITY,LOCATION
-80.48983441,43.45002916,1,44176,MAY 2014 WALKABOUT,2014-04-12T00:00:00.000Z,DERO RACK,KITCHENER,2,ARTISAN ZONE
-80.4923389,43.45096162,2,44173,MAY 2014 WALKABOUT,2014-04-12T00:00:00.000Z,DERO RACK,KITCHENER,2,ENTERTAINING ELEMENTS
-80.48549415,43.44919776,3,34787,JOSH JOSEPH 2013,2013-05-22T00:00:00.000Z,DERO RACK,KITCHENER,2,SCOTT ST (THRIFT STORE)
-80.48385526,43.44758916,4,34789,MAY 2014 WALKABOUT,2014-04-12T00:00:00.000Z,DERO RACK,KITCHENER,2,KING ST E (MARKET)
-80.4961674,43.45217819,5,34771,SEPT 2013 WALKABOUT,2013-09-15T00:00:00.000Z,DERO RACK,KITCHENER,2,KING ST W (TD BANK)
-80.4862216,43.44862262,6,44188,MAY 2014 WALKABOUT,2014-04-12T00:00:00.000Z,DERO RACK,KITCHENER,2,100 KING ST E (THE RECORD)
-80.4908355,43.45041811,7,34780,SEPT 2013 WALKABOUT,2013-09-15T00:00:00.000Z,DERO RACK,KITCHENER,2,GLOSS
-80.49056695,43.45017937,8,44174,MAY 2014 WALKABOUT,2014-04-12T00:00:00.000Z,DERO RACK,KITCHENER,2,ZOUP
-80.49706412,43.45243621,9,34768,JOSH JOSEPH 2013,2013-05-22T00:00:00.000Z,DERO RACK,KITCHENER,2,KING ST W (ZIGGYS)
-80.48793807,43.44936864,10,34785,SEPT 2013 WALKABOUT,2013-09-15T00:00:00.000Z,DERO RACK,KITCHENER,2,KING ST E (CRABBY JOES)
-80.48648355,43.44873458,11,44187,MAY 2014 WALKABOUT,2014-04-12T00:00:00.000Z,DERO RACK,KITCHENER,2,100 KING ST E (THE RECORD)
-80.48384631,43.44746237,12,44192,MAY 2014 WALKABOUT,2014-04-12T00:00:00.000Z,DERO RACK,KITCHENER,2,232 KING ST E (MARINAS)
-80.49267256,43.45123188,13,34776,SEPT 2013 WALKABOUT,2013-09-15T00:00:00.000Z,DERO RACK,KITCHENER,2,KING ST W (CITY HALL)
-80.49271717,43.45124826,14,34775,SEPT 2013 WALKABOUT,2013-09-15T00:00:00.000Z,DERO RACK,KITCHENER,2,KING ST W (CITY HALL)
-80.48553176,43.45325172,15,49190,,2014-09-23T00:00:00.000Z,SECURE CAGE,KITCHENER,,KPL MAIN BRANCH
-80.49240868,43.45123226,16,27623,DANNY PIMENTAL,2015-06-24T00:00:00.000Z,COMMUNITY ACCESS BIKESHARE,PRIVATE,16,200 KING ST W
-80.48401976,43.44798467,17,28990,DANNY PIMENTAL,2015-06-24T00:00:00.000Z,COMMUNITY ACCESS BIKESHARE,PRIVATE,16,KITCHENER MARKET
-80.48650247,43.45289075,18,28979,DANNY PIMENTAL,2015-06-24T00:00:00.000Z,COMMUNITY ACCESS BIKESHARE,PRIVATE,16,KPL
-80.49260474,43.44977328,19,53302,DANNY PIMENTAL,2015-06-24T00:00:00.000Z,COMMUNITY ACCESS BIKESHARE,PRIVATE,16,GRT TRANSIT  CHARLES ST TERMINAL 
-80.49811428,43.45133346,20,53303,DANNY PIMENTAL,2015-06-24T00:00:00.000Z,COMMUNITY ACCESS BIKESHARE,PRIVATE,16,THE TANNERY
-80.489386,43.4488714,21,1012,DANNY PIMENTAL,2015-06-24T00:00:00.000Z,COMMUNITY ACCESS BIKESHARE,PRIVATE,16,CHARLES/BENTON PARKING GARAGE
-80.48349585,43.45297901,22,1005,JOSH JOSEPH,2012-04-20T00:00:00.000Z,RACK,KITCHENER,10+,LOT 14
-80.48949482,43.44855908,23,1007,JOSH JOSEPH,2012-04-20T00:00:00.000Z,RACK,KITCHENER,10,LOT 7
-80.48856494,43.45037272,24,1008,JOSH JOSEPH,2012-04-20T00:00:00.000Z,RACK,KITCHENER,10+,LOT 2
-80.48714063,43.44965821,25,1009,JOSH JOSEPH,2012-04-20T00:00:00.000Z,RACK,KITCHENER,10+,FREDERICK ST OVERPASS
-80.48975631,43.45107595,26,1010,JOSH JOSEPH,2012-04-20T00:00:00.000Z,RACK,KITCHENER,10+,DUKE AND ONTARIO PARKING GARAGE
-80.49624,43.45171158,27,1011,JOSH JOSEPH,2012-04-20T00:00:00.000Z,RACK,KITCHENER,12,LOT 3
-80.49358,43.45136064,28,27608,SEPT 2013 WALKABOUT,2013-09-15T00:00:00.000Z,RACK,KITCHENER,4,255 KING ST W
-80.49573231,43.45204234,29,27612,SEPT 2013 WALKABOUT,2013-09-15T00:00:00.000Z,RACK,KITCHENER,4,381 KING ST W
-80.49474116,43.4518317,30,27614,SEPT 2013 WALKABOUT,2013-09-15T00:00:00.000Z,RACK,KITCHENER,4,310 KING ST W
-80.48808801,43.44930314,31,27616,SEPT 2013 WALKABOUT,2013-09-15T00:00:00.000Z,RACK,KITCHENER,4,67 KING ST E
-80.489751,43.45011129,32,27619,SEPT 2013 WALKABOUT,2013-09-15T00:00:00.000Z,RACK,KITCHENER,4,36 KING ST E
-80.4908937,43.45055441,33,27621,SEPT 2013 WALKABOUT,2013-09-15T00:00:00.000Z,RACK,KITCHENER,4,98 KING ST E
-80.49230398,43.45148868,34,27625,JOSH JOSEPH,2012-04-20T00:00:00.000Z,RACK,KITCHENER,10+,200 KING ST W
-80.48931714,43.44999729,35,27632,SEPT 2013 WALKABOUT,2013-09-15T00:00:00.000Z,RACK,KITCHENER,10+,8 KING ST W
-80.4854138,43.44815859,36,28927,SEPT 2013 WALKABOUT,2013-09-15T00:00:00.000Z,RING AND POST,KITCHENER,2,LOT 23
-80.48569142,43.44822758,37,28928,SEPT 2013 WALKABOUT,2013-09-15T00:00:00.000Z,RING AND POST,KITCHENER,2,LOT 23
-80.49709158,43.4511775,38,28930,JOSH JOSEPH,2012-04-20T00:00:00.000Z,RACK,KITCHENER,6,TANNERY
-80.49476596,43.4515647,39,28933,JOSH JOSEPH,2012-04-20T00:00:00.000Z,RACK,KITCHENER,6,CHYM BUILDING
-80.491753,43.44951055,40,28934,JOSH JOSEPH,2012-04-20T00:00:00.000Z,RING AND POST,KITCHENER,2,GRT TERMINAL
-80.48902144,43.45139441,41,28965,JOSH JOSEPH,2012-04-20T00:00:00.000Z,RACK,KITCHENER,5,SERVICE ONTARIO
-80.49176522,43.44951597,42,28935,JOSH JOSEPH,2012-04-20T00:00:00.000Z,RING AND POST,KITCHENER,2,GRT TERMINAL
-80.49177695,43.44952102,43,28936,JOSH JOSEPH,2012-04-20T00:00:00.000Z,RING AND POST,KITCHENER,2,GRT TERMINAL
-80.49178819,43.44952608,44,28937,JOSH JOSEPH,2012-04-20T00:00:00.000Z,RING AND POST,KITCHENER,2,GRT TERMINAL
-80.49241041,43.44972896,45,28939,JOSH JOSEPH,2012-04-20T00:00:00.000Z,SECURE LOCKER,KITCHENER,3,GRT TERMINAL
-80.49243126,43.44969939,46,28940,JOSH JOSEPH,2012-04-20T00:00:00.000Z,RING AND POST,KITCHENER,2,GRT TERMINAL
-80.49257056,43.44975826,47,28941,JOSH JOSEPH,2012-04-20T00:00:00.000Z,RING AND POST,KITCHENER,2,GRT TERMINAL
-80.49254162,43.44974603,48,28942,JOSH JOSEPH,2012-04-20T00:00:00.000Z,RING AND POST,KITCHENER,2,GRT TERMINAL
-80.4925602,43.44975388,49,28943,JOSH JOSEPH,2012-04-20T00:00:00.000Z,RING AND POST,KITCHENER,2,GRT TERMINAL
